cosine	suggested_conforms_to	node	nearest_labelled_node
0.728	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Tooth_and_Nail_Syndrome::MSX1 Homeodomain Loss of Function	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.728	sensorineural_hair_cell_loss#Hair Cell Mechanotransduction Failure and Death	Carvajal_Syndrome::Cardiomyocyte Desmosomal Uncoupling	MYO6_Hearing_Loss::Stereocilia Dysfunction in Cochlear Hair Cells
0.728	cardiac_ion_channel_repolarization#Cardiac Ion-Channel or Calcium-Handling Variant	Propionic_Acidemia::Cardiac multi-mechanism pathogenesis	Familial_Sick_Sinus_Syndrome::SCN5A Sodium Current Loss of Function
0.728	immune_checkpoint_blockade#Adaptive Immune Resistance	MOGAD::Cognate T-Cell Mediated Inflammation	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.728	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Morgagni-Stewart-Morel_Syndrome::Endocrine-mediated calvarial bone overgrowth	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.727	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	ATRX_Syndrome::ATRX chromatin-remodeling loss of function	Huntington_Disease::Transcriptional Dysregulation
0.727	nephrolithiasis_crystal_nucleation#Urinary Supersaturation	Cystinosis::Corneal cystine crystal deposition	Cystinuria::Urinary Cystine Supersaturation
0.727	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Galactosemia::Altered Signaling Pathways	Nephronophthisis::Impaired Cell Signaling
0.727	hepatic_steatosis_lipotoxicity#Lipotoxic Stress and Organelle Dysfunction	Wilsons_Disease::Hepatocyte Injury	Alcoholic_Liver_Disease::Alcohol metabolism and cellular stress
0.727	emphysema_protease_antiprotease_imbalance#Protease-Antiprotease Imbalance	Bronchiectasis::Protease-Antiprotease Imbalance	Alpha_1_Antitrypsin_Deficiency::Protease-Antiprotease Imbalance in Lung
0.727	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Multiple_System_Atrophy::Mitochondrial Dysfunction and Coenzyme Q10 Deficiency	Huntington_Disease::Mitochondrial Dysfunction
0.727	immune_checkpoint_blockade#Adaptive Immune Resistance	Infectious_Disease::Host Genetic Susceptibility and Immune Response	Endometrial_Endometrioid_Adenocarcinoma::Immune Checkpoint Vulnerability
0.726	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Splenic_Artery_Aneurysm::Portal-hypertensive splenic hyperkinetic flow	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.726	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Alexander_Disease::Oxidative Stress and White Matter Pathology	Huntington_Disease::Mitochondrial Dysfunction
0.726	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Mediator_Complex_Neurodevelopmental_Disorder::Cardiac Developmental Defects	Long_QT_Syndrome::Early Afterdepolarizations
0.726	nephrotic_podocyte_injury#Glomerular Filtration Barrier Breakdown	Membranous_Nephropathy::Glomerular filtration barrier failure and proteinuria	Focal_Segmental_Glomerulosclerosis::Glomerular Filtration Barrier Dysfunction
0.726	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Nasopharyngeal_Carcinoma::EGFR/SRC/STAT3 Signaling Axis	Nephronophthisis::Impaired Cell Signaling
0.726	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	Migraine_with_Aura::Cortical spreading depolarization	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.726	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	Aortitis::IgG4-related plasma-cell fibrotic vascular inflammation	Marfan_Syndrome::Extracellular Matrix Remodeling
0.726	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Li-Fraumeni_Syndrome::Impaired Apoptosis	Spinocerebellar_Ataxia_Type_17::Cerebellar Purkinje cell degeneration
0.726	immune_checkpoint_blockade#Adaptive Immune Resistance	Psoriasis::T Cell-Mediated Inflammation	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.726	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Influenza::Toll-like Receptor Signaling and Innate Immune Activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.726	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Landau-Kleffner_Syndrome::GRIN2A/NMDA Receptor Dysfunction	Huntington_Disease::Medium Spiny Neuron Degeneration
0.725	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Gastric_Cancer_H_pylori_Associated::VacA-Induced Cellular Damage	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.725	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	Alpha_1_Antitrypsin_Deficiency::Alveolar Tissue Destruction	Loeys-Dietz_Syndrome::Extracellular Matrix Degradation
0.725	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	VLCAD_Deficiency::Secondary mitochondrial dysfunction and OXPHOS impairment	COX10-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.725	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Hereditary_Hyperekplexia::Glycinergic Inhibitory Neurotransmission Failure	Epilepsy::Neuronal Hyperexcitability
0.725	cardiac_ion_channel_repolarization#Syncope and Sudden Cardiac Death	ALG9-congenital_disorder_of_glycosylation::Cardiac and pericardial involvement	Torsade_De_Pointes_Syndrome_With_Short_Coupling_Interval::Ventricular fibrillation and cardiac arrest
0.725	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Kawasaki_Disease::Vascular Inflammation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.725	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Central_Core_Myopathy::Mitochondrial depletion and oxidative metabolism deficiency in cores	Huntington_Disease::Mitochondrial Dysfunction
0.725	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	PKP2_Cardiomyopathy::Desmosomal Disruption	Brugada_Syndrome::Current-Load Mismatch at RVOT Substrate
0.724	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	CINCA_Syndrome::Epiphyseal skeletal overgrowth	Hypochondroplasia::Impaired endochondral ossification
0.724	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Peripheral_T_Cell_Lymphoma::TFH Angioimmunoblastic-Type RHOA-VAV1-mediated T-cell receptor signaling activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.724	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Hereditary_Hemorrhagic_Telangiectasia::Impaired BMP/TGF-beta Signaling in Vascular Endothelium	Shprintzen-Goldberg_Syndrome::Enhanced TGF-beta Signaling
0.724	ciliopathy_dysfunction#Hypothalamic Ciliary Signaling and Metabolic Dysfunction	Hereditary_Pulmonary_Alveolar_Proteinosis::Biallelic GM-CSF receptor subunit dysfunction	Bardet-Biedl_Syndrome::Hypothalamic leptin receptor signaling defect
0.724	fibrotic_response#Mesenchymal Cell Activation	Contact_Dermatitis::Fibroblast CXCL9/CXCL10 reinforcement	Sarcoidosis::Fibrotic Tissue Remodeling
0.724	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Cannabis_Hyperemesis_Syndrome::Endocannabinoid System Dysregulation	Huntington_Disease::Medium Spiny Neuron Degeneration
0.724	fibrotic_response#Mesenchymal Cell Activation	Fibrosarcoma::Fibroblastic Malignant Proliferation	Sarcoidosis::Fibrotic Tissue Remodeling
0.724	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	KBG_Syndrome::Disrupted Chromatin-Associated Transcriptional Regulation	Huntington_Disease::Transcriptional Dysregulation
0.723	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Chronic_Kidney_Disease::Tubulointerstitial Fibrosis	Bardet-Biedl_Syndrome::Renal tubulointerstitial injury
0.723	er_protein_storage_disease#Hepatic Protein Aggregation	Spinocerebellar_Ataxia_Type_17::TBP-XBP1s interference reduces MANF expression	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.723	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	Multiple_Mitochondrial_Dysfunctions_Syndrome_9B::Mitochondrial Respiratory Chain Dysfunction	COX15-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.723	fame_pentanucleotide_repeat_rna_toxicity#Cortical Hyperexcitability and Seizure Susceptibility	Akinetopsia::Epileptic hyperexcitability of MT/V5 cortex	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cortical hyperexcitability and seizure susceptibility
0.723	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Anal_Canal_Adenocarcinoma::Dualistic HPV-dependent and HPV-independent tumor lineages	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.723	immune_checkpoint_blockade#Adaptive Immune Resistance	Systemic_Lupus_Erythematosus::Formation of Immune Complexes	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.723	immune_checkpoint_blockade#Adaptive Immune Resistance	Systemic_Sclerosis::Immune Activation and Autoantibody Production	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.722	peripheral_axonal_degeneration#Distal Axonal Degeneration and Demyelination	Charcot-Marie-Tooth_Disease_Type_2::Impaired Neurotrophin Signaling Endosome Axonal Transport	Charcot-Marie-Tooth_Disease::Axonal Degeneration in CMT2
0.722	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_I::Misfolded Protein Aggregation and Proteostatic Stress	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.722	er_protein_storage_disease#Hepatic Protein Aggregation	Fuchs_Endothelial_Corneal_Dystrophy::ER Stress and Unfolded Protein Response Activation	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.722	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Aromatase_Deficiency::Impaired Skeletal Maturation and Bone Remodeling	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.722	fibrotic_response#Mesenchymal Cell Activation	Mucolipidosis_Type_III_Alpha_Beta::Craniofacial and connective tissue involvement	Sarcoidosis::Fibrotic Tissue Remodeling
0.722	polyglutamine_expansion_proteotoxicity#Proteostasis Network Overload	Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency::Oxidative Stress and Mitochondrial Homeostasis Defects	Dentatorubral-Pallidoluysian_Atrophy::Proteostasis Failure
0.722	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	Takayasu_Arteritis::Vascular Remodeling and Stenosis	Marfan_Syndrome::Extracellular Matrix Remodeling
0.721	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	CADASIL_Type_1::Immune Activation and ECM Remodeling	Marfan_Syndrome::Extracellular Matrix Remodeling
0.721	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Autism_Spectrum_Disorder::Convergent Transcriptional Dysregulation in Cortical Neurodevelopment	Huntington_Disease::Transcriptional Dysregulation
0.721	somatotroph_camp_pka_overactivation#Increased cAMP/PKA signaling in somatotrophs	Neurofibromatosis_Type_1::cAMP-PKA Signaling Dysregulation	AIP-related_pituitary_adenoma_predisposition::Increased cAMP/PKA signaling in somatotrophs
0.721	er_protein_storage_disease#Hepatic Protein Aggregation	Hartnup_Disease::B0AT1 endoplasmic-reticulum retention	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.721	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Pulmonary_hypertension::Increased Pulmonary Vascular Resistance	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.721	meiotic_prophase_failure#Pachytene Checkpoint Arrest and Germ Cell Apoptosis	Testicular_Germ_Cell_Tumor::Germ Cell Neoplasia In Situ (GCNIS)	HROB-related_gametogenic_failure::Prophase I meiotic arrest and germ cell depletion
0.721	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Joubert_syndrome::Defective canonical Wnt signaling at the cerebellar midline	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.721	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	Chronic_Obstructive_Pulmonary_Disease::Airway Remodeling	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.721	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	FGFR1_Hypogonadotropic_Hypogonadism::Impaired GnRH neuron migration	Huntington_Disease::Medium Spiny Neuron Degeneration
0.721	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Warburg_Micro_Syndrome::Neurodevelopmental impairment	Machado_Joseph_Disease::Multifocal neurodegeneration
0.721	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Moyamoya_Disease::RNF213 loss-of-function Hippo-YAP/TAZ-VEGFR2 activation	Arterial_Tortuosity_Syndrome::Arterial-wall TGF-beta pathway upregulation
0.721	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Ulnar-Mammary_Syndrome::TBX3 Haploinsufficiency	Spinocerebellar_Ataxia_Type_17::Polyglutamine-expanded TBP disrupts transcriptional programs
0.721	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Systemic_Lupus_Erythematosus::TLR7/TLR9-Mediated Nucleic Acid Sensing	Nephronophthisis::Impaired Cell Signaling
0.720	immune_checkpoint_blockade#Adaptive Immune Resistance	Furunculosis::Dendritic-cell and T-cell adaptive immune phase	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.720	fibrotic_response#Inflammatory Recruitment and Amplification	Gaucher_Disease::Macrophage Inflammatory Mediator Release	Idiopathic_Pulmonary_Fibrosis::Profibrotic macrophage recruitment and amplification
0.720	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Posterior_Myocardial_Infarction::Posterior myocardial ischemic cell death	Timothy_Syndrome::Delayed cardiomyocyte repolarization and ventricular arrhythmia substrate
0.720	fibrotic_response#Inflammatory Recruitment and Amplification	Hantavirus_Pulmonary_Syndrome::Noncardiogenic pulmonary edema	Idiopathic_Pulmonary_Fibrosis::Profibrotic macrophage recruitment and amplification
0.720	immune_checkpoint_blockade#Adaptive Immune Resistance	Ectodermal_Dysplasia_and_Immunodeficiency_2::Impaired T Cell Development and Function	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.720	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Paraneoplastic_Neurological_Syndromes::Cytotoxic T Cell-Mediated Neuronal Destruction (Intracellular Antigen PNS)	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.720	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Bird_Fanciers_Lung::Monocyte-to-SPP1hi Macrophage Differentiation	Gaucher_Disease::Glucocerebroside Accumulation in Macrophages
0.720	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Kabuki_Syndrome::Postnatal neurogenesis deficit	Machado_Joseph_Disease::Multifocal neurodegeneration
0.720	sensorineural_hair_cell_loss#Hair Cell Mechanotransduction Failure and Death	YWHAG_Syndrome::Cytoskeletal instability in cortical neurons	MYO6_Hearing_Loss::Stereocilia Dysfunction in Cochlear Hair Cells
0.719	aortopathy_tgfbeta_dysregulation#Aortic Medial Degeneration and Wall Weakening	Cutaneous_Collagenous_Vasculopathy::Type IV collagen-rich superficial dermal microangiopathy	Marfan_Syndrome::Extracellular Matrix Remodeling
0.719	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Schneckenbecken_Dysplasia::Thoracic Restriction and Pulmonary Hypoplasia	Achondroplasia::Impaired growth plate cartilage development
0.719	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Crohn_Disease::Intestinal Inflammation and Epithelial Injury	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.719	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	Fibrosarcoma::Fusion-Driven Oncogenic Signaling	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.719	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Gastric_Cancer_H_pylori_Associated::CagA-Mediated Oncogenic Signaling	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.718	intestinal_barrier_dysfunction#Epithelial Stress and Injury	Familial_Adenomatous_Polyposis::APC Tumor Suppressor Loss	Chemotherapy_Induced_Diarrhea::Crypt stem/progenitor apoptosis and epithelial injury
0.718	immune_checkpoint_blockade#Adaptive Immune Resistance	Gastric_Cancer_H_pylori_Associated::VacA-Mediated T Cell Suppression	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.718	immune_checkpoint_blockade#Adaptive Immune Resistance	LRBA_Deficiency::Reduced regulatory T-cell numbers	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.718	immune_checkpoint_blockade#Adaptive Immune Resistance	Rheumatoid_Vasculitis::Seropositive rheumatoid autoimmune substrate	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.718	aortopathy_tgfbeta_dysregulation#Progressive Aortic Dilation and Aneurysm	Splenic_Artery_Aneurysm::Tortuous splenic artery hemodynamic stress	Arterial_Tortuosity_Syndrome::Arterial wall structural failure and tortuosity
0.718	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Papillary_Thyroid_Carcinoma::MAPK Pathway Hyperactivation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.718	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Ankylosing_Spondylitis::Osteitis and Bone Erosion	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.717	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Carotid_Artery_Occlusion::Atherosclerotic carotid plaque formation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.717	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Carotid_Stenosis::Atherosclerotic carotid plaque formation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.717	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Joubert_syndrome::Impaired intraciliary transport	Jeune_Asphyxiating_Thoracic_Dystrophy::Intraflagellar Transport Dysfunction
0.717	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Autoimmune_Encephalitis::Antibody-Mediated NMDA Receptor Internalization	Huntington_Disease::Medium Spiny Neuron Degeneration
0.717	fgfr_gain_of_function_skeletal_dysplasia#Impaired Endochondral Ossification and Chondrodysplasia	Atelosteogenesis_Type_III::FLNB Cytoskeletal Signaling Dysfunction	Thanatophoric_Dysplasia_Type_2::Disrupted endochondral ossification via Sox9/beta-catenin dysregulation
0.717	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Cholesteatoma::Activin A-mediated local osteoclastogenesis	Apert_Syndrome::Enhanced osteoblast differentiation and matrix mineralization in cranial suture mesenchyme
0.716	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Joubert_syndrome::Pathogenic JBTS gene defects	Joubert_syndrome::Ciliary transition zone gating defect
0.716	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Polycystic_Kidney_Disease::Epithelial Proliferation and Kidney Enlargement	Bardet-Biedl_Syndrome::Renal tubulointerstitial injury
0.716	cardiac_ion_channel_repolarization#Syncope and Sudden Cardiac Death	Ulnar-Mammary_Syndrome::Cardiac Conduction System Disruption	Torsade_De_Pointes_Syndrome_With_Short_Coupling_Interval::Ventricular fibrillation and cardiac arrest
0.716	emphysema_protease_antiprotease_imbalance#Protease-Antiprotease Imbalance	Tuberculosis::Neutrophil Activation and NETosis	Alpha_1_Antitrypsin_Deficiency::Protease-Antiprotease Imbalance in Lung
0.715	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	UNC13A_NDD_with_Seizures_and_Movement_Disorder::Gain-of-Function Neurotransmission	Epilepsy::Neuronal Hyperexcitability
0.715	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Coronary_Vasospasm::Coronary vascular smooth muscle hyperreactivity	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.715	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	BRAF_Mutant_Thyroid_Cancer::MEK-ERK Pathway Hyperactivation	Crouzon_Syndrome::Sustained MAPK/ERK signaling in suture osteoblasts
0.715	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Alpha_Thalassemia::Ineffective Erythropoiesis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.715	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Mediator_Complex_Neurodevelopmental_Disorder::CDK8 Kinase Module Dysfunction	Nephronophthisis::Impaired Cell Signaling
0.715	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Idiopathic_Spontaneous_Coronary_Artery_Dissection::Coronary arterial wall hematoma and false lumen formation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.715	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	Menkes_Disease::Connective tissue laxity	Arterial_Tortuosity_Syndrome::SLC2A10/GLUT10 loss-of-function connective tissue defect
0.714	osteoporosis_bone_resorption#Increased Osteoclastic Bone Resorption	Pycnodysostosis::Impaired Organic Bone Matrix Degradation	Osteoporosis::Microgravity-Accelerated Bone Resorption
0.714	fibrotic_response#Mesenchymal Cell Activation	Pleuropulmonary_Blastoma::Epithelial FGF9 Overexpression	Idiopathic_Pulmonary_Fibrosis::Fibroblast activation and myofibroblast differentiation
0.714	peripheral_axonal_degeneration#Distal Axonal Degeneration and Demyelination	ANK2_Ankyrin_B_Syndrome::Impaired Axonal Development and AIS Structure	Charcot-Marie-Tooth_Disease::Axonal Degeneration in CMT2
0.714	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Beckwith-Wiedemann_Syndrome::Overgrowth and Embryonal Tumor Predisposition	Crouzon_Syndrome_with_Acanthosis_Nigricans::FGFR3 A391E Gain-of-Function
0.714	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	CNS_Vasculitis::Angiographic Large-Vessel CNS Vasculopathy	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.714	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	NARP_syndrome::Neuroretinal energy failure	Machado_Joseph_Disease::Multifocal neurodegeneration
0.714	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	CKD-Mineral_Bone_Disorder::Vascular Calcification	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.713	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	2q37_Microdeletion_Syndrome::Neurodevelopmental dysregulation	Machado_Joseph_Disease::Multifocal neurodegeneration
0.713	fibrotic_response#Inflammatory Recruitment and Amplification	IKBKG_Ectodermal_Dysplasia_with_Immunodeficiency::Impaired innate immune signaling	Dupuytrens_Contracture::Profibrotic Signaling and Inflammatory Amplification
0.713	fibrotic_response#Inflammatory Recruitment and Amplification	Primary_Cutaneous_Aggressive_Epidermotropic_CD8_T-cell_Lymphoma::Proliferative and Inflammatory Transcriptional Program	Dupuytrens_Contracture::Profibrotic Signaling and Inflammatory Amplification
0.713	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	BEST1_Bestrophinopathies::Progressive Macular and Retinal Degeneration	Alstrom_Syndrome::Photoreceptor Degeneration
0.713	meiotic_prophase_failure#Pachytene Checkpoint Arrest and Germ Cell Apoptosis	Kaposi_Sarcoma::Apoptosis Resistance and Cell Survival	STAG3-related_gametogenic_failure::Prophase I meiotic arrest and germ cell apoptosis
0.713	ciliopathy_dysfunction#Hypothalamic Ciliary Signaling and Metabolic Dysfunction	Bacterial_meningitis::Blood-Brain Barrier Disruption	Bardet-Biedl_Syndrome::Hypothalamic leptin receptor signaling defect
0.713	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	CTCF-related_Neurodevelopmental_Disorder::Neurodevelopmental Gene Dysregulation	Machado_Joseph_Disease::Multifocal neurodegeneration
0.713	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Arterial_Calcification_of_Infancy::Reduced AMP/adenosine signaling and myointimal proliferation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.713	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Influenza::Inflammasome Activation and Cytokine Storm	Gout::Inflammasome Activation
0.713	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Adult_Onset_Dystonia_Parkinsonism::Cerebral and Cerebellar Atrophy	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.713	immune_checkpoint_blockade#Adaptive Immune Resistance	Kawasaki_Disease::Immune Response Dysregulation	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.712	immune_checkpoint_blockade#Adaptive Immune Resistance	IKBKG_Ectodermal_Dysplasia_with_Immunodeficiency::Defective adaptive immunity	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.712	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Duchenne_Muscular_Dystrophy::TRPC/SOCE-mediated Calcium Entry	RYR2_CPVT::RYR2 Gain-of-Function Calcium Leak
0.712	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	Primary_Myelofibrosis::Cytokine-Mediated Marrow Fibrosis	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.712	meiotic_prophase_failure#Synaptonemal Complex Assembly	Small_Cell_Lung_Cancer::Functional Neuron-SCLC Synapses	SYCE1_Related_Gametogenic_Failure::Synaptonemal complex assembly failure
0.712	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Hyperlipidemia::Atherosclerotic Plaque Development	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.712	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	22q11.2_Deletion_Syndrome::Cortical circuit and neurotransmitter vulnerability	Machado_Joseph_Disease::Multifocal neurodegeneration
0.712	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Alzheimer_Disease::Synaptic Dysfunction	Epilepsy::Neuronal Hyperexcitability
